City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tura,25.5198,90.2201,23.78,97,100,2.69,IN,1690403338
1,talara,-4.5772,-81.2719,28.42,57,0,7.2,PE,1690403200
2,tralee,52.2704,-9.7026,16.77,97,100,4.36,IE,1690403334
3,klyuchi,52.2667,79.1667,23.12,34,100,3.21,RU,1690403067
4,thompson,55.7435,-97.8558,16.09,63,100,5.66,CA,1690403081
5,adamstown,-25.066,-130.1015,19.84,68,100,8.25,PN,1690403075
6,brookings,44.3114,-96.7984,36.14,40,0,5.14,US,1690403339
7,ifrane,33.3333,-5.25,21.03,48,0,1.92,MA,1690403339
8,port douglas,-16.4833,145.4667,21.81,82,60,8.41,AU,1690403234
9,vilyuchinsk,52.9306,158.4028,16.15,77,100,0.78,RU,1690403084
10,petropavlovsk-kamchatsky,53.0452,158.6483,15.33,88,0,2.0,RU,1690403339
11,barah,13.7,30.3667,26.93,65,98,6.61,SD,1690403340
12,labytnangi,66.6572,66.4183,16.2,89,95,7.25,RU,1690403340
13,bredasdorp,-34.5322,20.0403,10.26,91,100,2.8,ZA,1690403142
14,mimon,50.6587,14.7247,14.58,74,24,1.53,CZ,1690403340
15,sao sepe,-30.1606,-53.5653,14.92,90,100,4.18,BR,1690403340
16,bilibino,68.0546,166.4372,10.35,73,17,1.62,RU,1690403206
17,tiksi,71.6872,128.8694,5.83,78,33,2.09,RU,1690403340
18,san luis de la loma,17.2706,-100.8939,32.84,56,50,4.53,MX,1690403341
19,lere,10.387,8.5726,23.05,87,100,2.03,NG,1690403341
20,pisco,-13.7,-76.2167,22.03,60,20,8.75,PE,1690403341
21,iqaluit,63.7506,-68.5145,8.85,81,75,2.06,CA,1690403341
22,mount pearl,47.5166,-52.7813,28.19,39,75,7.72,CA,1690403341
23,puerto natales,-51.7236,-72.4875,1.27,91,99,1.62,CL,1690403342
24,lompoc,34.6391,-120.4579,34.32,77,75,5.14,US,1690403145
25,longyearbyen,78.2186,15.6401,12.91,67,20,5.14,SJ,1690403342
26,manay,7.215,126.5397,25.72,85,92,4.85,PH,1690403343
27,waitangi,-43.9535,-176.5597,8.79,53,98,8.26,NZ,1690403343
28,port-aux-francais,-49.35,70.2167,5.14,80,78,18.26,TF,1690403084
29,tahla,34.0485,-4.428,26.93,37,0,4.22,MA,1690403344
30,ushuaia,-54.8,-68.3,1.81,69,20,9.26,AR,1690403260
31,st. john's,47.5649,-52.7093,28.66,39,75,7.72,CA,1690403215
32,saipan,15.1355,145.701,27.39,100,0,8.49,MP,1690403344
33,cabinda,-5.55,12.2,21.37,92,5,2.88,AO,1690403345
34,novyy urgal,51.0736,132.5642,15.51,98,12,0.45,RU,1690403345
35,edinburgh of the seven seas,-37.0676,-12.3116,10.16,62,73,9.12,SH,1690403345
36,hermanus,-34.4187,19.2345,9.33,87,16,3.95,ZA,1690403073
37,anna regina,7.2644,-58.5077,28.92,69,84,2.84,GY,1690403346
38,east london,-33.0153,27.9116,17.74,65,57,3.12,ZA,1690403346
39,atafu village,-8.5421,-172.5159,28.22,74,23,8.63,TK,1690403102
40,castillos,-34.1667,-53.8333,11.76,81,96,6.87,UY,1690403346
41,naryn,41.4287,75.9911,15.96,64,72,2.97,KG,1690403346
42,soro,21.2881,86.6858,27.57,89,77,2.83,IN,1690403347
43,tamanrasset,22.785,5.5228,31.95,9,0,3.09,DZ,1690403347
44,langarud,37.197,50.1535,24.38,82,36,0.45,IR,1690403347
45,puerto ayora,-0.7393,-90.3518,29.98,89,85,3.13,EC,1690403273
46,bethel,41.3712,-73.414,31.4,61,20,4.12,US,1690403347
47,fremont,37.5483,-121.9886,34.65,55,0,5.14,US,1690402954
48,ilulissat,69.2167,-51.1,16.01,36,20,4.63,GL,1690403348
49,blackmans bay,-43.0167,147.3167,8.72,78,99,2.6,AU,1690403348
50,fale old settlement,-9.3852,-171.2468,28.25,73,15,8.77,TK,1690403348
51,udachny,66.4167,112.4,16.36,72,100,1.82,RU,1690403064
52,cabo san lucas,22.8909,-109.9124,35.34,65,20,3.6,MX,1690402911
53,smithers,54.7804,-127.1743,18.18,55,75,4.63,CA,1690403349
54,teruel,40.6667,-0.6667,17.93,52,0,2.72,ES,1690403349
55,coahuayana de hidalgo,18.7,-103.6583,32.91,58,92,3.0,MX,1690403349
56,albany,42.6001,-73.9662,31.05,60,57,0.89,US,1690403316
57,grytviken,-54.2811,-36.5092,-0.51,98,100,4.31,GS,1690403136
